,name,img,video
0,[15분 레시피] 오세득 셰프의 '피시 앤 만두',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191119_112709_612_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10333489/view
1,[15분 레시피] 유현수 셰프의 '만두 만두 만두 눈꽃만두♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191119_112413_787_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10333487/view
2,[15분 레시피] 김풍 작가의 '캐비지 돌풍!',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191119_112235_426_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10333485/view
3,[15분 레시피] 송훈 셰프의 '봉주르 캐비지',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191119_111916_864_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10333483/view
4,[15분 레시피] 이연복 셰프의 '동고샤 돌격 앞으로!',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191112_141733_607_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10332593/view
5,[15분 레시피] 정호영 셰프의 '해산물 꼬치 피었습니다♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191112_141338_161_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10332591/view
6,[15분 레시피] 샘킴 셰프의 '돼지가 스튜에 빠진 날',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191112_140957_147_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10332589/view
7,[15분 레시피] 레이먼킴 셰프의 '특수돼지 삼형제',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191112_140649_486_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10332587/view
8,[15분 레시피] 유현수 셰프의 '장칼국수는 장난이 아니야♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191105_111622_513_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10331227/view
9,[15분 레시피] 샘킴 셰프의 '토르티야 먹을 사람 뉴~규?',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191105_111458_110_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10331225/view
10,[15분 레시피] 김풍 작가의 '복고풍 샐러드',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191105_112241_132_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10331221/view
11,[15분 레시피] 이연복 셰프의 '이연복Go 연복Go♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191105_112226_432_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10331219/view
12,[15분 레시피] 오세득 셰프의 '간장 보증수표',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191029_094824_318_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10329904/view
13,"[15분 레시피] 정호영 셰프의 '간장, 게 섰거라!'",https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191029_094705_169_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10329902/view
14,[15분 레시피] 송훈 셰프의 '할리우드에서 미트볼을',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191029_094536_396_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10329900/view
15,[15분 레시피] 레이먼킴 셰프의 '백 투 더 아메리카',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191029_094432_376_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10329898/view
16,[15분 레시피] 오세득 셰프의 '지구용사 산초맨',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191022_135701_231_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10328582/view
17,[15분 레시피] 이연복 셰프의 '마라탕 복탁구',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191022_135558_177_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10328581/view
18,[15분 레시피] 샘킴 셰프의 '파스타 사랑해♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191022_135423_290_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10328578/view
19,[15분 레시피] 송훈 셰프의 '고등램지',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191022_135304_233_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10328576/view
20,[15분 레시피] 김풍 작가의 '닭파라치♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191015_133310_669_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10327024/view
21,[15분 레시피] 유현수 셰프의 '닭살돋자냐♡',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191015_133118_069_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10327022/view
22,[15분 레시피] 정호영 셰프의 '알 Killer♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191015_132947_754_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10327020/view
23,[15분 레시피] 레이먼킴 셰프의 '비주알 센터',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191015_132809_880_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10327018/view
24,[15분 레시피] 김풍 작가의 '매워서 놀라지 마라',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191008_094529_505_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10326059/view
25,[15분 레시피] 오세득 셰프의 '맵지호?',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191008_093621_933_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10326053/view
26,[15분 레시피] 송훈 셰프의 '수상한 튀김',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191008_093506_630_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10326051/view
27,[15분 레시피] 이연복 셰프의 '튀김의 신',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191008_093331_718_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10326049/view
28,[15분 레시피] 정호영 셰프의 '문어 입떡',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191001_112404_094_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10324642/view
29,[15분 레시피] 유현수 셰프의 '문어밖에 난 몰라♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191001_112213_879_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10324640/view
30,[15분 레시피] 샘킴 셰프의 '내가 공주라니!',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191001_112101_627_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10324638/view
31,[15분 레시피] 레이먼킴 셰프의 '라니공주와 올라프',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20191001_111854_029_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10324636/view
32,[15분 레시피] 정호영 셰프의 '매일 메밀 기다려♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190924_140032_166_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10323221/view
33,[15분 레시피] 오세득 셰프의 '메밀면 필 무렵',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190924_135936_881_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10323219/view
34,[15분 레시피] 이연복 셰프의 '삼치세끼',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190924_135816_977_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10323215/view
35,[15분 레시피] 샘킴 셰프의 '삼치 바라기',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190924_135621_557_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10323213/view
36,[15분 레시피] 김풍 작가의 '오징어가 왜 그럴까',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190917_103048_490_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10321748/view
37,[15분 레시피] 유현수 셰프의 '그릇을 부딪치며 단짠짠♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190917_103233_935_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10321750/view
38,[15분 레시피] 송훈 셰프의 '브루클린 바비큐',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190917_102628_453_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10321746/view
39,[15분 레시피] 레이먼킴 셰프의 '오 나의 소고기님',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190917_101640_143_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10321744/view
40,[15분 레시피] 레이먼킴 셰프의 '와인 아리랑',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190910_094812_836_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10320934/view
41,[15분 레시피] 정호영 셰프의 '옥돔이 뭐길래',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190910_094741_842_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10320932/view
